HN_noise_80,HN_noise_75,HN_noise_70,HN_noise_65,HN_noise_60,HN_noise_55,HN_noise_50,HN_noise_45,HN_noise_40,TD_noise_80,TD_noise_75,TD_noise_70,TD_noise_65,TD_noise_60,TD_noise_55,TD_noise_50,TD_noise_45,TD_noise_40,TN_noise_80,TN_noise_75,TN_noise_70,TN_noise_65,TN_noise_60,TN_noise_55,TN_noise_50,TN_noise_45,TN_noise_40,Accidents,Bars,OldTown,ProtectedBuildings,UrbanDensification,multi_family_houses,single_family_houses,Community_Endowments,Endowment_protection_housing,SpecificArrangement,ForestPark,UrbanParks,Infrastructure,PhysicalRemodeling,UrbanRenewal,TechnicalFacilities,RailwaySystem,PortSystem,Transformation(EQUIPMENT),Transformation(PARC),PrivateGreen ,strOri_0,strOri_1,strOri_2,strOri_3,x_coord,y_coord
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.1,0.5,0.0,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0909090909091,0.0,0.454545454545,0.181818181818,0.0,0.0909090909091,0.181818181818,8,1,0,0,59437,14432,1281,1865,0,1460,0,2708,283,0,0,0,0,0,0,0,0,168.281753686,1849.67570582,293.890531981,1178.51196748,427719.428074,4584295.26718
0.0,0.0,0.0,0.0,0.307692307692,0.0769230769231,0.0769230769231,0.0769230769231,0.461538461538,0.0,0.0,0.0833333333333,0.0,0.416666666667,0.0833333333333,0.0,0.25,0.166666666667,0.0,0.0,0.0,0.0,0.416666666667,0.0833333333333,0.0833333333333,0.166666666667,0.25,20,21,55711,0,0,0,0,42273,0,3845,0,57951,0,0,0,0,0,0,0,0,0,360.625218288,1592.67985005,997.683112293,1251.37269993,430412.698647,4581723.24588
0.0,0.0,0.222222222222,0.0,0.333333333333,0.111111111111,0.0,0.0,0.333333333333,0.0,0.375,0.25,0.0,0.125,0.0,0.25,0.0,0.0,0.0,0.0,0.571428571429,0.0,0.0,0.0,0.0,0.428571428571,0.0,33,28,0,0,16426,0,0,1817,0,4483,0,0,0,0,0,0,0,0,0,0,0,166.853448759,1524.16805750,390.032928805,1288.90573463,429015.726227,4583030.41531
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.6,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.666666666667,0.0,0.0,0.0,18,1,0,0,0,0,0,0,0,38072,0,421,11557,0,0,0,0,0,0,0,0,798.833115599,415.921039667,1355.06496158,343.668678785,427100.040657,4582570.09737
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.2,0.4,0.0,0.0,0.0,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.25,0.25,20,4,0,0,29760,0,0,6561,0,126,0,2907,2518,0,0,0,0,0,0,614,0,539.559150292,1030.65101176,129.033869015,1165.31591598,428377.990383,4581692.40606
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.714285714286,0.0,0.285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.714285714286,0.0,0.142857142857,0.0,0.142857142857,25,1,0,0,39066,16704,0,9966,0,18116,0,0,18480,0,0,0,0,0,0,0,0,0,1686.62418177,98.0384544588,1984.06541925,430533.627641,4584558.46997
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0909090909091,0.0,0.0,0.0909090909091,0.181818181818,0.181818181818,0.454545454545,0.0,0.0,0.0,0.0,0.0,0.0625,0.3125,0.0625,0.0625,0.5,15,2,39920,702,21643,0,0,6312,0,3315,0,0,0,7863,0,0,0,0,0,0,0,284.907593989,1900.88783906,274.839256752,2256.51024800,431158.534323,4582249.61350
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.142857142857,0.571428571429,0.0,0.142857142857,0.0,0.142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.333333333333,0.333333333333,0.0,26,1,9426,0,42917,0,0,0,0,45521,0,2597,0,0,0,0,0,0,0,12148,0,26.9020902520,1734.10260141,167.986444851,1521.51047420,428465.102597,4581283.72195
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333333333333,0.0,0.0,0.444444444444,0.111111111111,0.111111111111,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.0833333333333,0.416666666667,0.0833333333333,0.166666666667,0.0833333333333,23,7,11950,0,86328,0,0,30113,0,0,0,0,1368,0,0,0,0,0,0,0,0,107.787049594,2057.36031484,77.0699614429,1721.37159570,428493.067816,4583564.14016
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333333333333,0.333333333333,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.5,0.0,51,19,2644,0,84040,1595,0,4182,0,0,0,0,2957,0,0,0,0,0,6617,0,0,0,1298.08057988,0,1335.89018696,430583.278816,4582333.91249
0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.75,0.0,0.5,0.166666666667,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.4,0.0,42,24,0,0,66587,0,0,35346,0,0,0,7198,0,0,0,0,0,0,0,0,0,0,997.247616692,0,1502.77009986,430235.762462,4582202.75896
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.285714285714,0.285714285714,0.0,0.0,0.142857142857,0.285714285714,0.0,0.0,0.0,0.0,0.166666666667,0.0,0.333333333333,0.0,0.0,0.333333333333,0.166666666667,39,18,18084,0,72271,0,0,2639,0,268,0,1986,0,0,0,0,0,195,1147,0,0,149.018843105,1431.45683565,348.112663470,1517.50675393,430605.201600,4582034.63353
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.625,0.0,0.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666666666667,0.333333333333,0.0,0.0,19,3,4360,0,23527,0,0,4746,0,13592,0,21276,0,0,0,0,0,0,0,0,0,282.653886979,1161.54316831,361.674191470,1311.82838586,428108.953123,4581196.67540
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.285714285714,0.428571428571,0.0,0.0,0.0,0.285714285714,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.5,0.0,48,26,0,0,82968,1595,0,18338,0,0,0,1016,2957,0,0,0,0,0,6618,0,0,0,964.558879136,0,1640.37180952,430483.287716,4582201.11585
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.333333333333,0.333333333333,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.333333333333,0.0,0.0,0.666666666667,0.0,43,21,2644,1159,65083,1595,0,1131,0,0,0,0,2957,0,0,0,0,0,6462,0,0,0,1160.06848148,0,1526.89885128,430480.813782,4582441.36237
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.142857142857,0.857142857143,0.0,0.375,0.125,0.0,0.0,0.125,0.375,0.0,0.0,0.0,0.0,0.428571428571,0.0,0.0,0.0,0.0,0.571428571429,0.0,52,26,0,0,141716,0,0,20761,0,0,0,0,0,0,0,0,0,0,3759,0,0,87.4300403700,1037.74830926,256.380506861,1380.69559154,430347.058522,4582104.89068
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.0,0.166666666667,0.0,0.166666666667,0.166666666667,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.25,31,6,0,0,28139,0,0,42255,0,3612,0,2803,0,0,0,0,0,0,0,487,0,1315.60416678,565.397731013,342.572885001,1328.63131123,427294.964170,4581410.11088
